"","rules","support","confidence","coverage","lift","count"
"1","{PETR4.SA=1} => {CPLE6.SA=1}",0.3,0.620689655172414,0.483333333333333,1.77339901477832,18
"2","{PETR4.SA=1} => {ITUB4.SA=1}",0.333333333333333,0.689655172413793,0.483333333333333,1.88087774294671,20
"3","{PETR4.SA=1} => {BRFS3.SA=1}",0.3,0.620689655172414,0.483333333333333,1.69278996865204,18
"4","{PETR4.SA=1} => {PRIO3.SA=1}",0.3,0.620689655172414,0.483333333333333,1.6191904047976,18
"5","{PETR4.SA=1} => {MGLU3.SA=1}",0.333333333333333,0.689655172413793,0.483333333333333,1.79910044977511,20
"6","{PETR4.SA=1} => {AMER3.SA=1}",0.383333333333333,0.793103448275862,0.483333333333333,1.90344827586207,23
"7","{PETR4.SA=1} => {JBSS3.SA=1}",0.383333333333333,0.793103448275862,0.483333333333333,1.90344827586207,23
"8","{PETR4.SA=1} => {CIEL3.SA=1}",0.3,0.620689655172414,0.483333333333333,1.37931034482759,18
"9","{PETR4.SA=1} => {USIM5.SA=1}",0.4,0.827586206896552,0.483333333333333,1.77339901477833,24
"10","{PETR4.SA=1} => {MRVE3.SA=1}",0.3,0.620689655172414,0.483333333333333,1.28418549346017,18
"11","{PETR4.SA=1} => {CCRO3.SA=0}",0.3,0.620689655172414,0.483333333333333,1.24137931034483,18
"12","{PETR4.SA=1} => {SUZB3.SA=1}",0.35,0.724137931034483,0.483333333333333,1.44827586206897,21
"13","{PETR4.SA=1} => {ABEV3.SA=1}",0.3,0.620689655172414,0.483333333333333,1.24137931034483,18
"14","{PETR4.SA=1} => {POSI3.SA=1}",0.483333333333333,1,0.483333333333333,2,29
"15","{PETR4.SA=1} => {B3SA3.SA=0}",0.3,0.620689655172414,0.483333333333333,1.24137931034483,18
"16","{PETR4.SA=1} => {VALE3.SA=1}",0.35,0.724137931034483,0.483333333333333,1.40155728587319,21
"17","{PETR4.SA=1} => {CSAN3.SA=1}",0.35,0.724137931034483,0.483333333333333,1.40155728587319,21
"18","{PETR4.SA=1} => {BBAS3.SA=1}",0.316666666666667,0.655172413793103,0.483333333333333,1.22844827586207,19
"19","{PETR4.SA=1} => {LREN3.SA=1}",0.366666666666667,0.758620689655172,0.483333333333333,1.42241379310345,22
"20","{PETR4.SA=1} => {CSNA3.SA=1}",0.466666666666667,0.96551724137931,0.483333333333333,1.81034482758621,28
"21","{PETR4.SA=1} => {LINX3.SA=1}",0.366666666666667,0.758620689655172,0.483333333333333,1.42241379310345,22
"22","{PETR4.SA=1} => {RAIL3.SA=1}",0.45,0.931034482758621,0.483333333333333,1.74568965517241,27
"23","{PETR4.SA=1} => {EMBR3.SA=1}",0.45,0.931034482758621,0.483333333333333,1.69278996865204,27
"24","{PETR4.SA=1} => {BPAC11.SA=1}",0.316666666666667,0.655172413793103,0.483333333333333,1.15618661257606,19
"25","{PETR4.SA=1} => {OIBR3.SA=1}",0.483333333333333,1,0.483333333333333,1.71428571428571,29
"26","{PETR4.SA=1} => {WIZS3.SA=1}",0.333333333333333,0.689655172413793,0.483333333333333,1.18226600985222,20
"27","{PETR4.SA=1} => {IRBR3.SA=1}",0.383333333333333,0.793103448275862,0.483333333333333,1.25226860254083,23
"28","{PETR4.SA=1} => {HAPV3.SA=0}",0.3,0.620689655172414,0.483333333333333,0.954907161803713,18
"29","{PETR4.SA=1} => {BRDT3.SA=1}",0.45,0.931034482758621,0.483333333333333,1.36248948696384,27
"30","{PETR4.SA=1} => {FNOR11.SA=0}",0.3,0.620689655172414,0.483333333333333,0.792369772560528,18
"31","{PETR4.SA=1} => {BTOW3.SA=0}",0.3,0.620689655172414,0.483333333333333,0.775862068965517,18
"32","{PETR4.SA=1} => {ITSA4.SA=0}",0.3,0.620689655172414,0.483333333333333,0.760028149190711,18
